date,GLD,HYG,LQD,QQQ,SPY,TLT,AAPL,MSFT,XOM,JPM,NVDA
2015/1/2,114.08,49.3,81.03,94.67,170.13,93.71,109.33,46.76,92.83,62.49,20.13
2015/1/5,115.8,48.85,81.36,93.28,167.05,95.18,106.25,46.33,90.29,60.55,19.79
2015/1/6,117.12,48.66,81.69,92.03,165.48,96.9,106.26,45.65,89.81,58.98,19.19
2015/1/7,116.43,48.96,81.8,93.21,167.54,96.71,107.75,46.23,90.72,59.07,19.135
2015/1/8,115.94,49.33,81.53,95,170.51,95.43,111.89,47.59,92.23,60.39,19.86
2015/1/9,117.26,49.58,81.75,94.37,169.15,96.47,112.01,47.19,92.1,59.34,19.94
2015/1/12,118.56,49.52,81.91,93.39,167.82,97.02,109.25,46.6,90.33,58.83,19.69
2015/1/13,118.16,49.52,81.98,93.36,167.35,97.02,110.22,46.36,90,58.84,19.655
2015/1/14,117.97,49.4,82.12,92.84,166.34,97.76,109.8,45.96,89.74,56.81,19.74
2015/1/15,120.94,49.1,82.55,91.64,164.82,99.3,106.82,45.48,88.96,54.99,19.6
2015/1/16,122.52,49.29,82.09,92.72,166.98,98.03,105.99,46.24,91.12,55.93,19.96
2015/1/20,124.2,49.2,82.28,93.45,167.33,99.34,108.72,46.39,91.09,55.71,20.02
2015/1/21,124.23,49.46,82.24,93.93,168.18,98.19,109.55,45.92,91.87,55.89,20.3
2015/1/22,125.23,49.53,82.2,95.67,170.68,97.83,112.4,47.13,92.87,57.59,20.65
2015/1/23,124.23,49.53,82.68,95.88,169.74,99.2,112.98,47.18,90.89,56.68,20.71
2015/1/26,122.99,49.75,82.66,95.77,170.14,98.89,113.1,47.01,91.76,56.77,20.615
2015/1/27,124.4,49.72,82.72,93.29,167.9,99.05,109.14,42.66,90.95,56.2,19.63
2015/1/28,123.42,49.61,83.29,92.81,165.74,100.67,115.31,41.19,87.95,54.75,19.31
2015/1/29,120.76,49.79,83.09,93.7,167.28,100.01,118.9,42.01,87.58,55.67,19.78
2015/1/30,123.45,49.65,83.77,92.97,165.17,101.78,117.16,40.4,87.42,54.38,19.205
2015/2/2,122.42,49.84,83.85,93.78,167.22,101.39,118.63,41.28,89.58,55.47,19.62
2015/2/3,121.05,50.12,83.17,94.68,169.64,99.25,118.65,41.6,92.25,56.72,20.11
2015/2/4,121.58,49.91,83.29,94.6,168.99,99.42,119.56,41.84,91.46,56.38,20.16
2015/2/5,121.79,50.21,83.02,95.42,170.7,98.33,119.94,42.45,92.36,56.77,20.485
2015/2/6,118.64,50.24,82.16,94.84,170.22,96.59,118.93,42.41,91.5,57.89,20.4
2015/2/9,119.17,50.12,82.21,94.54,169.46,96.43,119.72,42.36,91.56,57.82,20.38
2015/2/10,118.47,50.29,81.99,96.01,171.27,95.66,122.02,42.6,91.01,58.46,20.95
2015/2/11,117.07,50.28,82.04,96.36,171.37,95.84,124.88,42.38,90.6,58.37,20.81
2015/2/12,117.34,50.27,82.25,97.48,173.02,95.52,126.46,43.09,92.37,59.57,22.3
2015/2/13,117.98,50.34,81.92,98.32,173.73,94.54,127.08,43.87,93.37,59.67,22.31
2015/2/17,116.01,50.31,81.55,98.41,174,93.12,127.83,43.58,93.05,60.1,22.375
2015/2/18,116.34,50.48,81.84,98.55,174.02,93.67,128.72,43.53,91.01,59.37,22.12
2015/2/19,115.94,50.37,81.82,99.03,173.89,93.05,128.45,43.5,89.44,59.23,22.175
2015/2/20,115.28,50.5,81.95,99.7,174.94,93.33,129.5,43.86,89.92,59.8,22.335
2015/2/23,115.43,50.54,82.22,99.8,174.91,94.4,133,44.15,89.01,59.35,22.16
2015/2/24,115.26,50.59,82.76,99.87,175.41,95.63,132.17,44.09,89.42,60.82,22.31
2015/2/25,115.7,50.76,82.83,99.62,175.26,96.05,128.79,43.99,89.6,61.14,22.14
2015/2/26,116.07,50.75,82.39,100.13,175.05,94.73,130.41,44.06,88.65,61.58,22.2
2015/2/27,116.16,50.76,82.58,99.69,174.46,95.53,128.46,43.85,88.54,61.28,22.06
2015/3/2,115.68,50.75,81.87,100.59,175.56,93.75,129.09,43.88,88.04,61.77,22.595
2015/3/3,115.47,50.6,81.82,100.12,174.84,93.41,129.36,43.28,87.62,61.97,22.18
2015/3/4,115.11,50.51,81.76,99.73,174.1,93.44,128.54,43.06,87.18,62.13,22.43
2015/3/5,115,50.6,81.87,99.91,174.29,93.32,126.41,43.11,86.74,62,22.86
2015/3/6,111.86,50.28,81,98.78,171.84,91.26,126.6,42.36,85.63,60.89,22.55
2015/3/9,111.97,50.18,81.33,99.06,172.55,92.1,127.14,42.85,85.16,61.5,22.61
2015/3/10,111.42,49.98,81.46,97.22,169.75,93.32,124.51,42.03,84.26,59.96,22.995
2015/3/11,110.75,50.12,81.87,96.66,169.35,94,122.24,41.98,84.02,60.24,22.88
2015/3/12,110.72,50.22,81.79,97.3,171.51,93.93,124.45,41.02,84.22,61.37,22.67
2015/3/13,110.88,50.05,81.56,96.87,170.46,93.64,123.59,41.38,83.87,61,22.7
2015/3/16,110.81,50,81.64,98.12,172.73,94.54,124.95,41.56,84.76,61.85,22.97
2015/3/17,110.21,49.75,81.78,98.28,172.22,95.33,127.04,41.7,84.08,61.61,23.25
2015/3/18,112.37,50.19,82.78,99.24,174.29,97.17,128.47,42.5,86.07,61.75,22.87
2015/3/19,112.29,49.79,82.36,99.39,173.5,96.67,127.5,42.29,84.41,61.2,23.215
2015/3/20,113.57,50.18,82.59,100.04,175.03,97.18,125.9,42.88,84.54,61.75,23.47
2015/3/23,114.29,50.22,82.78,99.84,174.69,97.06,127.21,42.86,85.43,61.14,22.71
2015/3/24,114.57,50.3,82.91,99.48,173.7,98,126.69,42.9,84.52,60.46,22.4
2015/3/25,114.73,50.17,82.63,97.21,171.16,97.17,123.38,41.46,84.86,59.61,21.04
2015/3/26,115.48,50.16,82.12,96.87,170.75,95.66,124.24,41.21,84.32,59.54,20.965
2015/3/27,115.06,50.2,82.45,97.26,171.14,96.85,123.25,40.97,83.58,59.55,21.38
2015/3/30,113.75,50.34,82.59,98.38,173.23,96.37,126.37,40.96,85.63,60.96,21.47
2015/3/31,113.66,50.28,82.74,97.33,171.72,96.57,124.43,40.66,85,60.58,20.925
2015/4/1,115.6,50.38,82.98,96.83,171.11,97.84,124.25,40.72,84.46,59.95,21.01
2015/4/2,115.28,50.42,82.85,96.89,171.72,96.81,125.32,40.29,84.3,60.52,21.06
2015/4/6,116.69,50.55,82.95,97.68,172.88,96.27,127.35,41.55,85.13,60.47,21.665
2015/4/7,116.11,50.81,83.25,97.52,172.42,97.07,126.01,41.53,85.75,60.85,21.86
2015/4/8,115.47,50.8,83.23,98.29,173.01,97.1,125.6,41.42,84.06,61.05,22.02
2015/4/9,114.67,50.75,82.8,98.91,173.77,95.84,126.56,41.48,84.65,61.47,22.525
2015/4/10,115.97,50.87,82.92,99.32,174.72,95.98,127.1,41.72,85.56,61.7,22.76
2015/4/13,115.14,50.78,82.89,99.07,173.93,96.12,126.85,41.76,85.34,62.07,22.55
2015/4/14,114.44,50.8,83.08,98.78,174.26,96.8,126.3,41.65,86.63,63.04,22.36
2015/4/15,115.43,51,83.14,99.4,175.04,96.72,126.78,42.26,88.08,64.21,22.63
2015/4/16,115.03,50.89,83.09,99.26,174.99,96.24,126.17,42.16,87.73,63.81,22.49
2015/4/17,115.6,50.74,83.32,97.71,172.98,97.34,124.75,41.62,86.93,62.84,22.2
2015/4/20,114.72,50.85,83.12,99.18,174.56,96.48,127.6,42.91,87.24,63.24,22.09
2015/4/21,115.38,50.88,83.1,99.6,174.35,96.04,126.91,42.64,86.88,62.31,22.055
2015/4/22,113.83,50.83,82.56,100.15,175.21,94.58,128.62,42.99,87.46,62.94,22.31
2015/4/23,114.66,50.81,82.77,100.52,175.65,94.99,129.67,43.34,87.54,62.8,22.22
2015/4/24,113.05,50.9,82.93,101.89,176.06,95.58,130.28,47.87,86.97,62.6,22.03
2015/4/27,115.33,50.92,82.87,101.63,175.33,95.58,132.65,48.03,87.01,62.34,22.2
2015/4/28,116.33,50.84,82.37,101.43,175.88,94.26,130.56,49.16,87.8,62.76,22.305
2015/4/29,115.51,50.74,81.69,100.79,175.16,93.1,128.64,49.06,87.87,63.6,22.14
2015/4/30,113.47,50.71,81.76,99.21,173.4,93.27,125.15,48.64,87.37,63.26,22.195
2015/5/1,113.08,50.83,81.31,100.51,175.28,92.01,128.95,48.66,88.85,63.61,22.75
2015/5/4,114.1,50.82,81.05,100.68,175.78,91.14,128.7,48.24,89.11,64.72,22.61
2015/5/5,114.42,50.75,80.91,99.04,173.77,91.02,125.8,47.6,88.61,64.4,22.03
2015/5/6,114.36,50.6,80.57,98.36,173.06,89.46,125.01,46.28,88.19,63.92,22.1
2015/5/7,113.42,50.59,80.89,98.95,173.75,90.66,125.26,46.7,87.6,64.5,22.49
2015/5/8,113.97,50.99,81.35,100.18,176.03,90.91,127.62,47.75,88.99,65.49,20.825
